Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SIGE,com.sige.persistencia,BancoDadosVotacaoCandidatos,obterVotosCandidato,Long Statement,The length of the statement "SQL="SELECT votos FROM votacao_candidatos WHERE votacao_candidatos.candidato = '" + candidato + "' AND votacao_candidatos.data = '"+ data+ "'";" is 143.,25
SIGE,com.sige.persistencia,BancoDadosVotacaoCandidatos,quantidadeVotacaoCandidatos,Long Statement,The length of the statement "SQL="SELECT COUNT(votacao_candidatos.candidato) AS qtde FROM votacao_candidatos WHERE votacao_candidatos.cargo = '" + cargo + "'";" is 130.,42
SIGE,com.sige.persistencia,BancoDadosVotacaoCandidatos,adicionarVotacaoCandidatos,Long Statement,The length of the statement "SQL="INSERT INTO votacao_candidatos (data` cargo` candidato` votos) VALUES ('" + data + "'` '"+ cargo+ "'` '"+ candidato+ "'` "+ votos+ ")";" is 140.,68
SIGE,com.sige.persistencia,BancoDadosVotacaoCandidatos,obterVotacaoCandidatos,Long Statement,The length of the statement "SQL="SELECT data` cargo` candidato` votos FROM votacao_candidatos WHERE votacao_candidatos.data = '" + data + "' AND votacao_candidatos.cargo = '"+ cargo+ "' ORDER BY votos DESC";" is 179.,110
SIGE,com.sige.persistencia,BancoDadosVotacaoCargos,obterQuantidadeNulo,Long Statement,The length of the statement "SQL="SELECT nulo FROM votacao_cargos WHERE votacao_cargos.cargo = '" + cargo + "' AND votacao_cargos.data = '"+ data+ "'";" is 122.,23
SIGE,com.sige.persistencia,BancoDadosVotacaoCargos,atualizarNulo,Long Statement,The length of the statement "SQL="UPDATE votacao_cargos SET nulo = " + nulo + " WHERE votacao_cargos.cargo = '"+ cargo+ "' AND votacao_cargos.data = '"+ data+ "'";" is 134.,40
SIGE,com.sige.persistencia,BancoDadosVotacaoCargos,obterQuantidadeBranco,Long Statement,The length of the statement "SQL="SELECT branco FROM votacao_cargos WHERE votacao_cargos.cargo = '" + cargo + "' AND votacao_cargos.data = '"+ data+ "'";" is 124.,53
SIGE,com.sige.persistencia,BancoDadosVotacaoCargos,atualizarBranco,Long Statement,The length of the statement "SQL="UPDATE votacao_cargos SET branco = " + branco + " WHERE votacao_cargos.cargo = '"+ cargo+ "' AND votacao_cargos.data = '"+ data+ "'";" is 138.,70
SIGE,com.sige.persistencia,BancoDadosVotacaoCargos,obterQuantidadeEleitores,Long Statement,The length of the statement "SQL="SELECT eleitores FROM votacao_cargos WHERE votacao_cargos.cargo = '" + cargo + "' AND votacao_cargos.data = '"+ data+ "'";" is 127.,83
SIGE,com.sige.persistencia,BancoDadosVotacaoCargos,atualizarEleitores,Long Statement,The length of the statement "SQL="UPDATE votacao_cargos SET eleitores = " + eleitores + " WHERE votacao_cargos.cargo = '"+ cargo+ "' AND votacao_cargos.data = '"+ data+ "'";" is 144.,100
SIGE,com.sige.recursos,Recurso,formataData,Magic Number,The method contains a magic number: 6,18
SIGE,com.sige.recursos,Recurso,formataData,Magic Number,The method contains a magic number: 10,18
SIGE,com.sige.recursos,Recurso,formataData,Magic Number,The method contains a magic number: 3,18
SIGE,com.sige.recursos,Recurso,formataData,Magic Number,The method contains a magic number: 5,18
SIGE,com.sige.recursos,Recurso,formataData,Magic Number,The method contains a magic number: 2,18
SIGE,com.sige.recursos,Recurso,descobreMes,Magic Number,The method contains a magic number: 3,28
